"city","population"
"São Cristóvão","90072"
"São Domingos","11137"
"Simão Dias","40484"
"Tobias Barreto","52191"
"Tomar do Geru","13536"
"Umbaúba","25294"
"Abaíra","8739"
"Acajutiba","15159"
"Adustina","17040"
"Água Fria","16970"
"Aiquara","4446"
"Alagoinhas","151596"
"Almadina","5464"
"Amargosa","37241"
"Amélia Rodrigues","25102"
"Anguera","11221"
"Aracatu","13135"
"Araci","54379"
"Arataca","11019"
"Aurelino Leal","11531"
"Barra","53578"
"Barra do Choça","31603"
"Barra do Rocha","5714"
"Barreiras","155439"
"Barrocas","15978"
"Barro Preto","5591"
"Belmonte","23328"
"Boa Vista do Tupim","18576"
"Bom Jesus da Lapa","69148"
"Brumado","67195"
"Buerarema","18349"
"Cachoeira","33470"
"Caetanos","14542"
"Caldeirão Grande","13327"
"Camacan","31988"
"Camaçari","299132"
"Camamu","35316"
"Campo Alegre de Lourdes","28798"
"Campo Formoso","71206"
"Canarana","26176"
"Canavieiras","31099"
"Candeias","87076"
"Cansanção","34834"
"Capela do Alto Alegre","11637"
"Capim Grosso","30662"
"Castro Alves","26264"
"Catu","54704"
"Coaraci","16993"
"Conceição do Coité","66612"
"Conceição do Jacuípe","33153"
"Conde","25837"
"Coração de Maria","22605"
"Cravolândia","5349"
"Cristópolis","13910"
"Cruz das Almas","63239"
"Curaçá","34700"
"Dário Meira","10710"
"Dias d'Ávila","81089"
"Dom Basílio","12199"
"Euclides da Cunha","60585"
"Eunápolis","113380"
"Feira de Santana","614872"
"Floresta Azul","10629"
"Gandu","32403"
"Gongogi","7128"
"Governador Mangabeira","20722"
"Guaratinga","20843"
"Ibicaraí","21689"
